	hCiPSCs_2_corr	hCiPSCs_2_pval	hCiPSCs_2_qval	hCiPSCs_2_ci_low	hCiPSCs_2_ci_high
PWAR6	0.1817209159977543	1.1089391121280623e-60	2.3077606575549253e-59	0.16044617549102375	0.20282688924619552
LDHB	0.1815551786179145	1.4277226542223525e-60	2.940216341039157e-59	0.1602791910303362	0.20266254237652456
VSNL1	0.1814345445096232	1.7157283375005372e-60	3.4969019827201668e-59	0.16015764998379842	0.20254291962144236
PTGES3	0.18124740063930703	2.2810698158345778e-60	4.601709210107103e-59	0.15996910042552917	0.2023573434517206
UQCRH	0.18113102812258647	2.7225985701433834e-60	5.436946841589363e-59	0.15985185458646373	0.2022419450208361
TRIM71	0.18047768826676885	7.335265260717745e-60	1.4501819420438981e-58	0.15919362286159974	0.20159406300363436
TPI1	0.18038346787984533	8.459623726951408e-60	1.6559085255626668e-58	0.15909869856264808	0.20150062818580514
KRTCAP3	0.17845362580968388	1.542515251370606e-58	2.989757501921263e-57	0.1571545253915958	0.19958679175636482
RAN	0.1778200947554736	3.971535548421614e-58	7.62303473711605e-57	0.15651632569682195	0.19895847989948498
GABRB3	0.17749115004968016	6.480330391208603e-58	1.231885883021097e-56	0.1561849639358026	0.1986322382735904
SLC2A3	0.17742758869981315	7.122557129587446e-58	1.3410757566851792e-56	0.15612093609589847	0.19856919869451467
NDUFAB1	0.17734996122859223	7.99346553932266e-58	1.490856733135934e-56	0.15604273914331793	0.19849220822463423
APOC1	0.17713698601212724	1.0966384587518687e-57	2.02621890930135e-56	0.15582820289510638	0.19828097931628313
LRPPRC	0.1768373590752876	1.709875085140846e-57	3.1300213364106043e-56	0.15552638320413723	0.19798380587036782
RP4-792G4.2	0.1766762738284173	2.1703317542368796e-57	3.9364641083727625e-56	0.15536412073472786	0.19782403806099613
SUMO2	0.17665513983306333	2.2392656859379871e-57	4.0245711464540006e-56	0.15534283237595692	0.19780307682688322
ASRGL1	0.17659781281267828	2.4374284889973329e-57	4.341257768241195e-56	0.1552850867367477	0.19774621833262948
SNRPD2	0.1764777652939624	2.91076654348686e-57	5.138022728994216e-56	0.15516416306746342	0.19762715148533647
NAP1L1	0.17631452363978675	3.7044579375920275e-57	6.481162250105698e-56	0.15499973104091147	0.19746524235540133
TRIML2	0.17629848442469176	3.793219470565211e-57	6.578241134480195e-56	0.1549835749301804	0.1974493340044529
CLDN7	0.17624894514395176	4.0809659958596807e-57	7.0157128467952945e-56	0.1549336746734782	0.19740019884495438
NPM1	0.17582859585589874	7.582680312910165e-57	1.2923240498813272e-55	0.15451026681924646	0.19698327431835935
ATP5B	0.17539283976439035	1.438844282257325e-56	2.4312779025835315e-55	0.15407134832403332	0.19655106043666926
SNRPB	0.1747978869446577	3.44062889479469e-56	5.764511292380595e-55	0.15347209135299678	0.19596093064029135
CRABP1	0.17354254698253813	2.1428329083548446e-55	3.5599837477458216e-54	0.1522077211713313	0.19471571687644182
RP11-132A1.3	0.1727936833541868	6.337565386680652e-55	1.0441138974556373e-53	0.15145350388549175	0.19397286145433015
NDUFS6	0.1727349928587237	6.898242045344826e-55	1.127092935838572e-53	0.1513943948592293	0.19391464081206428
SSBP1	0.17249755933128014	9.717199657923795e-55	1.5746642396487986e-53	0.15115526971501234	0.1936791065621061
NUCKS1	0.17189699410598297	2.3064428735595488e-54	3.707185008965226e-53	0.1505504368572398	0.1930833344768899
AURKAIP1	0.17182711637743633	2.5499441529814736e-54	4.065515798745463e-53	0.15048006361353133	0.19301401343125124
PGAM1	0.17181824799232143	2.5826240121257894e-54	4.0846781375781485e-53	0.15047113235662085	0.19300521568125348
HIST1H2AL	0.17079509054942352	1.117042156315059e-53	1.7526923357419617e-52	0.1494407447014177	0.1919901846369345
DTL	0.1707588100493898	1.1763789806281508e-53	1.8312608225998854e-52	0.1494042086741723	0.19195419146124026
TIMM13	0.1696790906539019	5.4594585409232215e-53	8.43230432453532e-52	0.14831691139681383	0.19088299683179205
EIF3K	0.1688725646131257	1.706606728727323e-52	2.6154740330960604e-51	0.147504758545223	0.1900828056467773
CCNE1	0.1685455174302133	2.704774518376357e-52	4.1133378637154284e-51	0.14717543789553308	0.18975831922411232
CTSV	0.16837416451703116	3.4415350529281946e-52	5.193828091327512e-51	0.14700289571493935	0.18958830614418548
CDT1	0.1679866137475812	5.928643984964635e-52	8.879491786572034e-51	0.14661265996347722	0.189203780998163
ATP5G3	0.1678646088265108	7.033866830327074e-52	1.0455605055305733e-50	0.14648981115961915	0.18908272722735284
HMGB1	0.16783345207054579	7.347565668246467e-52	1.084040098964423e-50	0.14645843900450617	0.18905181326605366
PRELID1	0.167074303192557	2.1217381771262272e-51	3.1071676860581863e-50	0.14569405511275377	0.18829856719596308
GINS2	0.1666789302680858	3.6784719024422555e-51	5.347308052300249e-50	0.14529596584540397	0.1879062586285582
HN1	0.16663073563386682	3.933294360294435e-51	5.676002153505182e-50	0.1452474405715013	0.18785843706605496
USP28	0.16650091938176617	4.7104830548810906e-51	6.748278985144866e-50	0.14511673422567525	0.187729625212972
HSPE1	0.16643897851287678	5.1334230354518645e-51	7.30127866265348e-50	0.14505436891814408	0.18766816332834943
KPNB1	0.1663023575116129	6.204657888564118e-51	8.761863318350903e-50	0.1449168123468198	0.18753259821969484
MAL2	0.165716133969872	1.3966405797220941e-50	1.958268387312468e-49	0.1443265837751078	0.18695089619962807
JPH1	0.16500767006666284	3.708149617252738e-50	5.1626843614849745e-49	0.14361330001689032	0.18624787678054183
