	hCiPSCs_3_corr	hCiPSCs_3_pval	hCiPSCs_3_qval	hCiPSCs_3_ci_low	hCiPSCs_3_ci_high
KTN1	0.12276688803422439	2.6135381021009393e-28	2.7779380794911595e-27	0.1011252779318706	0.14429236690790226
SLC2A3	0.1224620969165548	3.5542168932541193e-28	3.757586522975077e-27	0.10081898943557013	0.143989352698895
RBM3	0.12239897755204182	3.787486897599454e-28	3.982905104550064e-27	0.10075556049083224	0.1439266008108343
NR6A1	0.12233688412913118	4.0317667245890947e-28	4.217355986514624e-27	0.10069316269128324	0.1438648687224854
GNG5	0.12230435200100273	4.165923056211925e-28	4.334752569542618e-27	0.10066047116142156	0.14383252583870026
COX7C	0.12222906635582352	4.49360214197156e-28	4.651231117632343e-27	0.10058481680898711	0.14375767796521463
ID2	0.12221754915396113	4.545935703338324e-28	4.6808931695311805e-27	0.10057324322434395	0.1437462277119663
NOP58	0.1215196497448188	9.150321369494897e-28	9.373153029788296e-27	0.09987193816102283	0.14305237438096965
CALR	0.12074807084121753	1.9735635858977576e-27	2.0112037161442612e-26	0.09909661909093574	0.1422852440761685
SSBP1	0.12067823379178788	2.115231750516519e-27	2.1445195747544398e-26	0.09902644480940705	0.14221580840084527
C14orf2	0.12061938968291536	2.2423938307320927e-27	2.2618431649782385e-26	0.0989673167187882	0.14215730232186533
RPS25	0.12038736062769305	2.8220330198786307e-27	2.832060548375661e-26	0.09873416938108628	0.14192660469058196
ZFP42	0.1203289834608878	2.9898738585335717e-27	2.985343746626703e-26	0.09867551123516602	0.14186856213392937
POLR2L	0.12031525951391034	3.0307469367789445e-27	3.010948087443203e-26	0.09866172125437102	0.14185491682928705
OAZ1	0.11994396687639736	4.3734393497764675e-27	4.323144797254038e-26	0.0982886452700267	0.14148574870349748
GPX4	0.11959525375415649	6.165273849184408e-27	6.064052935242575e-26	0.09793826279502352	0.14113902543829676
DIAPH2	0.11944860498305229	7.120902850996786e-27	6.969319275455764e-26	0.09779091359345793	0.1409932119084351
HELLS	0.1193927941988406	7.521973953566122e-27	7.325587441477942e-26	0.09773483649271368	0.14093771875019095
COX7B	0.1187703025049967	1.383507928085347e-26	1.3407819479532996e-25	0.0971093837294452	0.1403187605561282
LRPPRC	0.11873303403667461	1.4347669475553384e-26	1.3836752464960506e-25	0.09707193852521101	0.1402817031034473
H3F3A	0.11860161625719738	1.6310024907332248e-26	1.5652873418347502e-25	0.09693989802083387	0.14015102893519862
ASPM	0.11827493015825183	2.2417015817253753e-26	2.140987452691337e-25	0.09661166721907122	0.1398261880965543
SKP1	0.11808572925953793	2.693979476616423e-26	2.5605756852262825e-25	0.09642157385727372	0.13963805376264382
HMGB2	0.11783129098142256	3.4476747147452045e-26	3.2612693354312292e-25	0.09616593788220297	0.13938504735269416
NGFRAP1	0.11765420863581166	4.0921183970497296e-26	3.852437176651103e-25	0.09598802365778746	0.1392089598888244
